0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:27:25 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:27:26 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 5653
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:27:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:27:27 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:27:30 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 5730
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:27:41 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 5751
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:30:23 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 5960
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:30:52 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 5960
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:30:56 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:30:57 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:31:02 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:36:08 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 200 6903
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:36:30 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:36:33 +0900] "GET /StudyJavascript/javascript2/test6.html HTTP/1.1" 304 -
